ensembl_gene_id,gene_symbol,SRR35143100,SRR35143101,SRR35143102,SRR35143106,SRR35143107,SRR35143108,SRR19070038,SRR19070039,SRR19070040,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000000617,Grm6,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000000627,Sema4f,11.312,6.395,3.425,18.737,3.3249999999999997,14.332,23.793,28.738,21.906000000000002,35.099000000000004,41.580000000000005,21.641
ENSMUSG00000000628,Hk2,0,0,0,0,0,7.989,0,0,0,0,19.725,0
ENSMUSG00000000631,Myo18a,56.771,57.604000000000006,97.32900000000001,53.172,60.916,74.32499999999999,140.25300000000001,133.583,172.598,1073.972,116.998,147.099
ENSMUSG00000000632,Sez6,715.1739999999999,721.303,507.033,758.806,766.1099999999999,808.9300000000001,1069.142,1329.075,1200.7209999999998,499.96700000000004,983.849,1155.07
ENSMUSG00000000673,Haao,1,2,0,4.629,3.066,2,7.177999999999999,3,0,1,2.8040000000000003,6.808
ENSMUSG00000000682,Cd52,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000686,Abhd15,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000693,Loxl3,2.752,2.321,1,10.725000000000001,0,2.951,9.166,1.992,6,4,5,5.588
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,1.322,0,0,0,1,2.228,0,0,0,0,0,0
ENSMUSG00000000708,Kat2b,1146.226,1419.5539999999999,1255.941,1372,1435,1314.951,936.0009999999999,1033.3939999999998,964.327,2815.9999999999995,854.899,1049.707
ENSMUSG00000000711,Rab5b,21.364,29.413,25.231,42.592,12.41,28.932,60.996,75.281,62.699,84.091,33.534,50.349
ENSMUSG00000000724,Cryba1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000730,Dnmt3l,2.008,0,0,3,0,0,1,0,0,0,1,0
