ensembl_gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance,neg_log10_padj
ENSMUSG00000049946,BC030500,15.448471252509323,1.2279112651014965,0.47009737100791055,2.6120360181313025,0.00900047711685179,0.02452387754995004,Upregulated,1.6104108610129884
ENSMUSG00000049957,Ccdc137,87.43346655820461,-0.35084899866512376,0.22888321963387667,-1.5328733981737257,0.12530705147904572,0.22220431629345197,Not Significant,0.653247509192532
ENSMUSG00000049960,Mrps16,536.5162189342258,-0.19149729308718663,0.13159620144345496,-1.4551886071686524,0.14561705404277886,0.2508720553088151,Not Significant,0.6005477121452673
ENSMUSG00000049969,Plekhf2,3.308988127960065,4.955300526932037,2.7006968654903916,1.8348229267234903,0.06653193043524461,0.13221642014963322,Not Significant,0.8787146058371897
ENSMUSG00000049971,Glt1d1,269.9912121961544,0.6511384029009696,0.1625212181236316,4.006482417610492,6.162971069788417e-5,2.9031675671588e-4,Not Significant,3.53712789651687
ENSMUSG00000049985,Ankrd55,126.0927669589688,0.9546651583363348,0.341840913405874,2.792717667480731,0.00522672892717818,0.01531969156252951,Not Significant,1.8147499784397008
ENSMUSG00000049999,Ppp1r3d,184.99366558713888,0.35943573240081367,0.2174261109933472,1.6531396839076593,0.09830243851932094,0.18270482818520287,Not Significant,0.7382499757646758
ENSMUSG00000050002,Idnk,116.27022338631518,-0.1658579169363089,0.19484847192809657,-0.8512148712026554,0.3946500033645788,0.5336418500578626,Not Significant,0.27275011886569195
ENSMUSG00000050010,Shisa3,3.2989807952995465,2.2300215034810003,1.0985979455284889,2.029879550164489,0.04236878424343054,0.09121446237069684,Not Significant,1.039936297309401
ENSMUSG00000050017,Pitpnb,49.67943550648878,-0.34263228027828785,0.2974419532811433,-1.1519299026201273,0.2493498792923402,0.3781055762190056,Not Significant,0.422386917709439
ENSMUSG00000050022,Amz1,5.556018461747021,0.9714020334519144,0.7909737555001796,1.228109057597795,0.21940603132395417,0.3431647142449006,Not Significant,0.46449737465947766
ENSMUSG00000050030,Or4k1,1.5212526383880185,-0.9594949003072982,1.2184438117242238,-0.7874757055473193,0.431003444704956,0.5685905553891881,Not Significant,0.2452003584627157
ENSMUSG00000050043,Tmx2,731.2124064160788,0.7260061746019073,0.27089175315257796,2.6800600836046464,0.00736089465355385,0.02060272858132371,Not Significant,1.6860752587891525
ENSMUSG00000050050,Ccdc158,15.291069171908864,0.7426216613459958,0.8020244919895877,0.925933894492136,0.3544803354475052,0.4923467044436351,Not Significant,0.30772896471461764
ENSMUSG00000050052,Tdrp,8.926610436261171,1.379273934550867,0.6316589731992036,2.1835737210621264,0.02899358633137294,0.06630292984295048,Not Significant,1.178467280245112
ENSMUSG00000050064,Zfp697,90.48957526839963,0.25696873640282,0.2125367260088594,1.209055682885171,0.22664145358536297,0.3512789612249925,Not Significant,0.45434786016386197
ENSMUSG00000050075,Gpr171,14.3276276946562,-2.171030232192793,0.4716125937179763,-4.603418698125491,4.1561148652779335e-6,2.4418254904938543e-5,Downregulated,4.612285376928268
ENSMUSG00000050079,Rspry1,120.57644933939702,-0.884920214798426,0.24212066193837675,-3.654872771757294,2.573095481082389e-4,0.00105385041007809,Not Significant,2.97722103114269
ENSMUSG00000050088,1600012H06Rik,1.627075670439604,1.466421679182904,1.5596045040769095,0.9402522725149746,0.34708817470334763,0.4843780229167361,Not Significant,0.314815569786856
ENSMUSG00000050097,Ces2b,49.43995951906356,-0.8105722719435657,0.2924372771434895,-2.771781627367034,0.00557504229689569,0.01622282773059265,Not Significant,1.7898734435430566
ENSMUSG00000050103,Agmo,28.277957530321043,-0.8640463679471065,0.6161935722574499,-1.4022320368932737,0.16084596779658897,0.27091529054921654,Not Significant,0.5671664825498971
ENSMUSG00000050105,Fam110d,9.474135149276716,-2.073871713196659,1.9353114322047564,-1.0715958572280282,0.2839015949143938,0.417678148085724,Not Significant,0.37915824538136217
