ensembl_gene_id,gene_symbol,SRR19070041,SRR19070042,SRR19070043,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000001089,Luzp1,4.657341,3.1619919999999997,4.008227,3.887597,0.702387,1.160123
ENSMUSG00000001098,Kctd10,1.001014,3.1196989999999998,3.866383,1.379396,4.110087999999999,2.354072
ENSMUSG00000001100,Poldip2,52.027454000000006,29.923594,31.799494,50.324555000000004,34.990836,34.805223999999995
ENSMUSG00000001103,Sebox,0.289807,0.469399,0.411416,0.362177,0.499909,0.584832
ENSMUSG00000001105,Ift20,10.569946,23.081789999999998,14.610552,8.9769,17.471823999999998,13.653569
ENSMUSG00000001119,Col6a1,6.028349,13.840371,13.198543,7.702521,14.316737,14.692628
ENSMUSG00000001120,Pcbp3,89.174552,60.38118299999999,29.775784,93.547654,60.29195,40.258151999999995
ENSMUSG00000001123,Lgals9,0,0.392062,0.894673,0.750202,0.260833,0.641496
ENSMUSG00000001127,Araf,44.773196,65.84531700000001,63.322681,50.198525999999994,75.526772,72.193947
ENSMUSG00000001128,Cfp,4.203882,4.706593,5.229456,2.03123,7.96427,7.853949
ENSMUSG00000001134,Uxt,7.505307,7.486752,8.498877,4.130317,4.716570000000001,7.326517999999999
ENSMUSG00000001138,Cnnm3,4.441584,5.6687199999999995,7.441068,2.883559,6.146345,3.9750360000000002
ENSMUSG00000001143,Lman2l,7.825697,8.226185000000001,7.966266999999999,8.111789,4.266221,5.716327
ENSMUSG00000001150,Mcm3ap,7.625152000000001,11.851146,8.488713,11.967391,10.131472,4.779184
ENSMUSG00000001151,Pcnt,11.436709,8.076449,4.135188,11.922264,1.4091559999999999,5.787752
ENSMUSG00000001155,Ftcd,0,0,0.08218,0,0.249278,0
ENSMUSG00000001156,Mxd1,1.293797,0.170365,0.930655,1.019788,0.394751,0.188172
ENSMUSG00000001157,Gmcl1,6.671734000000001,4.80862,4.008719,10.507945,5.828465,5.0720469999999995
ENSMUSG00000001158,Snrnp27,6.12092,5.350942,4.069043000000001,1.8388049999999998,5.979259,2.309561
ENSMUSG00000001166,Oas1c,3.175541,1.850129,2.816376,2.5299769999999997,3.276707,3.445621
ENSMUSG00000001168,Oas1h,0,0,0,0,0,0
ENSMUSG00000001173,Ocrl,6.595056,3.0338130000000003,0.675217,10.271639,2.478615,2.89392
ENSMUSG00000001175,Calm1,1883.1094830000002,1061.275812,1062.4499660000001,1895.3860470000002,1082.5418390000002,1071.1784280000002
ENSMUSG00000001211,Agpat3,11.81284,26.014483000000002,28.567936,7.5224530000000005,21.837386,20.223466000000002
ENSMUSG00000001225,Slc26a3,1.2259660000000001,0.814378,0.915714,1.341857,0.6202479999999999,0.9853259999999999
ENSMUSG00000001228,Uhrf1,1.1617170000000001,0,0.203655,0,0,0
ENSMUSG00000001229,Dpp9,1.8249849999999999,3.583203,3.215959,1.516914,3.468202,3.520874
ENSMUSG00000001240,Ramp2,37.930621,24.265949,24.011003,28.519977,14.099236,27.483052999999998
ENSMUSG00000001247,Lsr,0,0,0,0,0,0
ENSMUSG00000001248,Gramd1a,64.128433,92.83285900000001,90.925497,61.999178,90.795873,93.97631799999999
ENSMUSG00000001249,Hpn,7.716629,7.228373,5.505921000000001,4.015965,5.443211,12.839372
ENSMUSG00000001260,Gabrg1,27.074773999999998,16.383169000000002,19.138402000000003,28.883034000000002,17.845460000000003,14.047733000000001
ENSMUSG00000001270,Ckb,1253.396238,2522.6820380000004,2524.010717,1237.3177509999998,2579.840952,2584.91671
ENSMUSG00000001280,Sp1,1.42517,0,0,1.245391,0.795595,0
ENSMUSG00000001281,Itgb7,0.46626,1.535418,2.360506,2.3895299999999997,3.047676,0.711985
ENSMUSG00000001285,Myg1,46.971841,50.413373,49.131384,60.183229,65.80159499999999,57.21853899999999
ENSMUSG00000001288,Rarg,2.979254,4.982895,4.435534,7.543504,7.792638,3.0525070000000003
ENSMUSG00000001289,Pfdn5,339.811126,316.771974,307.341312,322.950766,328.71919499999996,321.996065
ENSMUSG00000001300,Efnb2,1.010524,0.533343,0.833462,1.655794,0.052777,4.80281
ENSMUSG00000001305,Rrp15,17.009988,11.368300999999999,13.008577,12.515455,10.366002,13.928263
ENSMUSG00000001313,Rnd2,4.7699,2.491854,2.664522,2.230685,0.875077,2.280708
ENSMUSG00000001323,Srr,6.426037,10.900169,11.239586000000001,6.856684,13.221277,4.953196
ENSMUSG00000001333,Sync,2.125421,1.962482,1.12103,2.261696,1.081639,1.103292
ENSMUSG00000001334,Fndc5,0.518826,1.793268,3.396814,0.177012,2.384003,1.930644
ENSMUSG00000001348,Acp5,0,0,0,0,0,0
ENSMUSG00000001349,Cnn1,1.181007,0.472137,0.8974679999999999,0.755299,0.40316,0.631099
ENSMUSG00000001366,Fbxo9,88.81256200000001,173.88218,176.94921000000002,103.780428,200.514151,173.85078299999998
ENSMUSG00000001376,Vps50,51.277917,38.734249999999996,39.148739,49.544667000000004,44.07212,39.370281
ENSMUSG00000001380,Hars1,121.587608,108.411074,118.110844,121.525467,108.29601600000001,114.839925
ENSMUSG00000001383,Zmat2,55.18292,57.133138,63.208335,80.577202,60.081571,43.670599
ENSMUSG00000001403,Ube2c,1.954282,1.313494,1.291143,0.924826,1.088138,1.335606
ENSMUSG00000001415,Smg5,50.606821,42.026289,40.100828,51.83076,44.027344,43.526697999999996
ENSMUSG00000001416,Cct3,4.762918999999999,4.409324,7.76809,2.045352,2.407031,1.6385569999999998
ENSMUSG00000001418,Glmp,82.703738,102.15374,109.46559599999999,69.67566699999999,97.37804,88.55091300000001
ENSMUSG00000001419,Mef2d,2.66185,1.600637,5.300788,4.860539,2.885092,0.453721
ENSMUSG00000001420,Tmem79,1.040917,1.252644,1.173153,1.351242,2.619271,2.507847
ENSMUSG00000001424,Snd1,4.072062,25.232253,9.065761,6.008626,21.627685999999997,9.911059999999999
ENSMUSG00000001435,Col18a1,0.047939,0.517944,0.648019,0.21256,0.349014,0.511664
ENSMUSG00000001436,Slc19a1,4.46623,6.070294,6.228635000000001,5.643168,8.074283000000001,8.419615
ENSMUSG00000001440,Kpnb1,31.553362,20.01592,14.612503,34.874541,14.896608,12.75477
ENSMUSG00000001441,Npepps,57.0341,44.323309,41.869543,60.837866,35.22125400000001,45.353826
ENSMUSG00000001467,Cyp51,0.506024,2.45856,0,0.296665,1.969347,0.262261
ENSMUSG00000001472,Tcf25,6.13544,7.424001,0,19.130118,0.374191,0
ENSMUSG00000001473,Tubb6,0,0,0,0,0,0
ENSMUSG00000001482,Def8,41.99702800000001,42.117658999999996,45.72614000000001,43.350272000000004,44.066735,42.72701
ENSMUSG00000001497,Pax9,0,0,0,0,0,0
ENSMUSG00000001504,Irx2,4.022408,2.274235,1.442786,6.496047,2.1477180000000002,1.311817
ENSMUSG00000001506,Col1a1,4.992919,4.954325,2.691426,4.258332,4.508403,6.168234
ENSMUSG00000001507,Itga3,4.975333,4.850021,7.5668940000000005,7.126951,2.812205,4.077388
ENSMUSG00000001508,Sgca,0,1.363597,0.257769,0,0,0
ENSMUSG00000001517,Foxm1,0.32967,3.8088059999999997,0,0.401878,0.940305,0.541427
ENSMUSG00000001518,Itfg2,17.463162,35.550675000000005,30.977171,21.419718,31.556245,34.483064
ENSMUSG00000001520,Nrip2,44.462272,61.741821,63.499207000000006,44.911416,66.666308,61.821014999999996
ENSMUSG00000001521,Tulp3,27.892911,31.50041,25.209687,35.681426,26.687392000000003,22.230952
ENSMUSG00000001524,Gtf2h4,11.289514,17.830931,14.309375,11.589779,16.739922999999997,17.260699000000006
ENSMUSG00000001525,Tubb5,5.4527280000000005,9.216281,6.903243,6.758385,9.595017,2.697578
ENSMUSG00000001542,Ell2,36.16115,16.915333999999998,21.811464,32.235202,17.254744000000002,26.020849000000002
ENSMUSG00000001552,Jup,8.1957,7.8768899999999995,2.905637,7.496793,2.835427,5.059399
ENSMUSG00000001555,Fkbp10,3.020174,1.9735,0.249807,0.598474,0,0.896357
ENSMUSG00000001569,Nom1,24.193140999999997,24.328654,21.606175999999998,21.141868,25.720943,10.105827999999999
ENSMUSG00000001576,Ergic1,2.15985,4.90739,5.755998,7.551209,4.402909,7.177231000000001
ENSMUSG00000001583,Tnk1,0,0.6802149999999999,0,0,0,0
ENSMUSG00000001588,Acap1,0.387814,0.378947,0.218361,0.209468,0.337118,0.216277
ENSMUSG00000001604,Tcea3,0,0,0,0,0,0
ENSMUSG00000001622,Csn3,0.8134490000000001,0.497653,0.49298,0.587229,0,0.636368
ENSMUSG00000001627,Ifrd1,71.05820399999999,39.0496,33.50664400000001,79.499198,29.538034999999997,32.012505
ENSMUSG00000001630,Stk38l,0,0,0,0,0,0
ENSMUSG00000001632,Brpf1,4.121663,3.277812,4.247949,3.1340019999999997,3.197731,2.8005060000000004
ENSMUSG00000001642,Akr1b1,0.96837,1.6690299999999998,1.254985,0.752425,0.995669,0.9210430000000001
ENSMUSG00000001655,Hoxc13,0.139752,1.080953,0.444775,0.13079,0.179921,0.489312
ENSMUSG00000001656,Hoxc11,7.186626,9.256396,10.399414,8.464376,9.561329,9.022993
ENSMUSG00000001657,Hoxc8,44.865522,20.815931,23.155756,49.105578,19.28158,23.774184
ENSMUSG00000001661,Hoxc6,10.362127000000001,5.309711,4.736631,8.52541,4.395722,10.267700000000001
ENSMUSG00000001663,Gstt1,1.246155,8.939208,8.371375,4.145461,10.652622,6.855119
ENSMUSG00000001665,Gstt3,0.847717,2.246761,0.667965,0.735464,0.593719,1.89527
ENSMUSG00000001670,Tat,0,1.011686,0,0.363953,0,0
ENSMUSG00000001672,Marveld3,0,0,0,0,0,0
