ensembl_gene_id,gene_symbol,SRR19070041,SRR19070042,SRR19070043,SRR19070035,SRR19070036,SRR19070037,SRR25715198,SRR25715200,SRR25715206,SRR25715208,SRR25715228,SRR25715226,SRR25715220,SRR25715218
ENSMUSG00000000381,Wap,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,27.410995999999997,22.914301999999996,25.405058999999998,20.385447,33.454102,24.200663000000002,16.359775,17.910061000000002,25.606644000000003,19.823141999999997,16.591543,14.143907999999998,20.231018999999996,19.25817
ENSMUSG00000000385,Tmprss2,0.527039,0.153333,0.18816,0.055453,0.154335,0.48979000000000006,0,0.02125,0,0,0.012276,0.063343,0,0
ENSMUSG00000000386,Mx1,0.8751,0.36277,0.128256,0.109084,0.627234,0.706332,0.930658,1.017044,0.533531,0.608692,0.093161,0.168322,0.240259,0.117242
ENSMUSG00000000392,Fap,0.8491,0.205369,0.48515200000000003,0.794807,0.106155,0.268155,0.731766,0.6755260000000001,0.463824,0.46424,1.192409,0.459952,0.598091,0.379563
ENSMUSG00000000394,Gcg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000399,Ndufa9,130.111091,189.59810099999999,200.67182400000002,162.50649,198.843974,196.807464,138.445638,141.01905399999998,144.340172,134.799562,147.16230099999999,144.610137,136.277555,139.406333
ENSMUSG00000000409,Lck,3.495656,1.086934,2.119657,1.9622870000000001,1.912617,0.324158,0.716051,1.17063,0.828314,0.42063,1.79645,0.858074,0.703356,0
ENSMUSG00000000411,Tssk3,0.196846,0.095667,0.314418,0.092256,0.127355,0,0,0,0,0,0,0,0.119382,0.055498
ENSMUSG00000000416,Cttnbp2,48.230591999999994,28.101806,31.246951,52.560011,29.212771,29.034826000000002,33.370791,26.861503999999996,28.558394999999997,21.861834,23.594573000000004,22.105484999999998,23.917068000000004,28.384292999999996
ENSMUSG00000000420,Galnt1,73.898271,40.163247,41.792588,77.726821,40.497735999999996,38.377874999999996,45.020286,42.324107,36.985485999999995,39.03214199999999,42.512437,33.920138,42.4322,45.703361
ENSMUSG00000000435,Myf5,0,0.162669,0.05948,0,0.2166,0.117848,0.033528,0.066543,0,0,0,0.033088,0.069098,0.064276
ENSMUSG00000000439,Mkrn2,15.382906,14.719977,11.332163000000001,13.277156,18.564845000000002,13.409614000000001,11.877712999999998,17.027129,14.270983000000001,15.247863,17.228597,14.037299,16.700453,17.797069
ENSMUSG00000000440,Pparg,0,0,0,0,0,1.704787,0,0.815326,0,0,0,0,0,0
ENSMUSG00000000441,Raf1,79.716727,77.962943,81.256642,74.816881,74.686541,80.09891,57.262885,66.207431,58.35600000000001,52.416329000000005,60.007413,54.688970000000005,58.597514,52.023231
ENSMUSG00000000486,Septin1,9.996158000000001,9.768368,10.76958,9.706381,12.073802,7.706216,3.279979,2.248768,3.045104,3.040924,5.2621590000000005,4.009247,1.227694,3.389138
ENSMUSG00000000489,Pdgfb,1.063459,0.839228,1.493149,0.680469,3.164286,1.500927,0.184595,0.113655,0.221936,0.112124,0,0.471227,0.549028,1.2353290000000001
ENSMUSG00000000530,Acvrl1,5.395882,4.518899,5.719844,5.756183,6.812345,8.45879,1.7658170000000002,1.933505,1.592328,0.972758,2.0352230000000002,0.748828,0.779344,1.283698
ENSMUSG00000000538,Tom1l2,49.651831,37.905583,37.675378,62.933704000000006,26.970834,45.309689999999996,22.084670999999997,21.421599999999998,33.127908,21.687159999999995,20.766617,27.364379,20.264615000000003,22.377212
ENSMUSG00000000544,Gpa33,0,0,0,0,0,0,0,0,0.188031,0,0,0,0.032123,0
ENSMUSG00000000555,Itga5,0.77777,1.9866169999999999,1.231011,0.915148,1.560485,1.340328,0.83552,0.694306,0.73433,0.361713,1.0146089999999999,0.494216,0.720452,0.966123
ENSMUSG00000000560,Gabra2,19.482728,22.809267,25.403218,23.253865,20.844406,21.727430000000002,44.080875999999996,42.647698,39.86873,48.363096999999996,46.509744000000005,39.259554,47.883627000000004,38.389579999999995
ENSMUSG00000000561,Wdr77,8.379588000000002,23.387364,21.292193,15.671132,18.682609,24.822613999999998,15.426573,13.179513000000002,11.964955,9.977934,11.256555,11.177461000000001,13.525135,15.709150000000001
ENSMUSG00000000562,Adora3,1.7378259999999999,0.8882410000000001,1.0328680000000001,0.8627469999999999,0.280911,1.377498,1.859718,1.7488070000000002,2.36365,1.791971,0.8812409999999999,0.783691,1.126776,1.461373
ENSMUSG00000000563,Atp5pb,368.274559,145.21797999999998,152.67783700000004,350.226634,172.501322,169.443619,135.534462,119.906979,104.23182000000001,142.733292,129.869758,124.53780099999999,118.800462,133.743549
ENSMUSG00000000568,Hnrnpd,161.71258600000002,93.560462,106.54737,143.854905,110.308531,79.383957,60.399765,68.52070499999999,56.94993,56.102963,61.201381999999995,55.152277999999995,59.345144999999995,79.824636
ENSMUSG00000000579,Dynlt1c,23.806863999999997,20.794114,31.226186,31.903293,30.357015999999998,24.146804,17.764825000000002,19.673195999999997,23.960264000000002,17.43266,21.825324000000002,17.700899999999997,16.126393,16.897096
ENSMUSG00000000581,C1d,18.576527000000002,52.291826,54.703373000000006,23.358162000000004,28.819473000000002,60.660681,52.876827,70.865101,55.586456,66.36969,68.861041,62.052925,59.128621,60.990238999999995
ENSMUSG00000000600,Krit1,29.170211000000002,15.900414000000001,19.914684,40.575599,20.41165,17.96991,20.150215,17.658279,20.034823,17.861736999999998,18.295534,13.701242,18.901996,18.378661
ENSMUSG00000000605,Clcn4,5.9360420000000005,7.585767,13.120334,6.673277,9.108344,11.259991,4.175797,4.430783,5.144519000000001,3.234681,4.550039,4.354099,5.226781,5.7717
ENSMUSG00000000606,Vmn2r88,0,0,0,0.073285,0,0,0.074526,0.030148,0.060733,0.133592,0.067307,0,0.052119,0.056133
ENSMUSG00000000617,Grm6,0,0,0,0,0,0.088603,0,0,0,0,0.041824,0,0,0
ENSMUSG00000000627,Sema4f,1.621127,2.324771,0.794278,1.963635,3.1756789999999997,1.5426380000000002,0.881321,0.164684,0.186385,0.167522,0.662453,1.165552,0.597524,0.807396
ENSMUSG00000000628,Hk2,0,1.122864,0,0,1.030214,0,0,0,0,0.694598,0,0,0,0
ENSMUSG00000000631,Myo18a,79.97794999999999,47.041492,29.228026,99.198727,36.950745,15.370784999999998,8.841797,12.205909,12.697040000000001,13.139285999999998,13.609907,17.561879,9.820478999999999,16.916872
ENSMUSG00000000632,Sez6,12.354578,29.849782,26.47473,12.523327000000002,34.369663,32.384869,17.205282,17.568682,18.367618999999998,14.100538,19.381164,21.013275,17.554577,20.311459
ENSMUSG00000000673,Haao,0.9308649999999999,0.107286,0.038191,0.033707,0.353873,2.7446,0.201787,0.7780290000000001,0.146865,0.41031,0.322866,0.26883999999999997,0.089569,0.023155
ENSMUSG00000000682,Cd52,0,0,0,0,0,0,0.20008,0,0.831218,0.385292,0.401115,0.387578,0,0
ENSMUSG00000000686,Abhd15,1.379255,0,0,0,0,0,0,0,0,0,0.497671,0,0,0
ENSMUSG00000000693,Loxl3,0.846514,0.868861,0.8122690000000001,0.996483,1.7502,1.5979700000000001,1.085407,2.228122,0.201334,0.145676,0.648052,0,0.315456,0.138748
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,0,0,0,0,0,0,0.086621,0,0,0,0.072892,0,0,0
ENSMUSG00000000708,Kat2b,102.032341,35.79563,28.639976,135.72646600000002,25.868353,28.654612999999998,28.172138,25.322840000000003,24.127467,24.981382999999997,24.988500000000002,24.086303,23.960732,29.434562999999997
ENSMUSG00000000711,Rab5b,5.769448,3.993024,4.179856,5.833722,3.2062,3.930925,1.886361,1.877131,1.89336,2.323047,1.984968,1.922736,2.313124,2.014734
ENSMUSG00000000724,Cryba1,0,0,0.095972,0,0,0,0.107667,0.05291,0.225955,0,0.164561,0.052635,0.054868,0.05106
ENSMUSG00000000730,Dnmt3l,0,0,0,0,0.723221,0,0,0,0,0.267768,0,0.27383,0,0.259945
ENSMUSG00000000731,Aire,0.114063,0.650114,0.241862,3.152935,0.195634,0.408331,0.172486,0.136418,0.144534,0.20855999999999997,0.11844299999999999,0.13168,0.045411,0.180033
ENSMUSG00000000732,Icosl,1.677566,3.593111,0.501277,4.168666,0.889944,0.6788430000000001,1.09737,0.779514,0.7441139999999999,1.131841,0.346244,0.610702,0.758984,0.80821
ENSMUSG00000000738,Spg7,40.028125,38.149346,19.826314999999997,33.11799799999999,37.402839,31.083333,17.226349999999996,15.496281,15.934031000000003,12.064326000000001,14.703838000000001,17.349019000000002,17.343149,22.550473999999998
ENSMUSG00000000739,Sult5a1,0,0.231334,2.811924,0,0.5139279999999999,0,0,0,0,0,0,0,0.41893800000000003,0.28671800000000003
ENSMUSG00000000740,Rpl13,9.383846,13.670591,9.483640999999999,7.765988,10.732230999999999,10.003338,7.4447969999999994,7.973703,9.639018,4.067965,11.193314999999998,5.291228,5.150728000000001,7.212298
ENSMUSG00000000743,Chmp1a,8.798751,9.67104,12.805805,3.946842,11.979651,11.285495999999998,6.669302,7.303113000000001,5.434299,5.462159,6.410502,2.7124230000000003,4.484876,5.795749
ENSMUSG00000000751,Rpa1,13.350498,15.313188,17.51495,6.562485,17.634029,12.127788,9.273639,10.186501,7.820208,10.113533,12.154337,11.140782,10.135746,11.077934
ENSMUSG00000000753,Serpinf1,24.106157,29.999763,18.008499999999998,20.671276,17.845848,17.721381,14.948228,20.650047999999998,16.778149,23.748279999999998,29.419842,18.714619,12.625006,12.616342000000001
ENSMUSG00000000759,Tubgcp3,38.143155,22.905004000000005,27.283537000000003,30.038660999999998,32.607363,21.794511000000004,22.467312000000003,24.090753000000003,22.559745999999997,22.37031,18.35174,15.610327,19.517633999999997,20.334734
ENSMUSG00000000766,Oprm1,4.769223,1.503199,2.312664,4.157629,1.954915,2.041511,5.559018,5.649702,6.132601,4.667229,5.1498800000000005,4.527656,5.916621,6.232614999999999
ENSMUSG00000000776,Polr3d,4.106483,1.6383130000000001,11.784492,0.402564,3.514068,5.8909329999999995,1.6919110000000002,4.071445,5.885739999999999,0.502839,1.496929,2.2907640000000002,1.6415570000000002,4.257692
ENSMUSG00000000782,Tcf7,0,0,0,0,0,0,0,0,0,0.465028,0.189383,0,0,0
ENSMUSG00000000787,Ddx3x,6.94144,1.463187,1.729153,3.923299,3.860199,3.300638,6.082946,3.3854629999999997,4.640376,3.72019,4.333352,4.044868,4.6792300000000004,4.461206
