ensembl_gene_id,gene_symbol,SRR35143100,SRR35143101,SRR35143102,SRR35143106,SRR35143107,SRR35143108,SRR19070038,SRR19070039,SRR19070040,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000059252,Tpt1-ps5,0,0,0,0,0,0,0.416624,0,0,0,0,0
ENSMUSG00000059256,Gzmd,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059263,Usp47,0.43808600000000003,0.233796,0.196151,0.329679,0.34098700000000004,0.20196000000000003,0.305264,0.501971,0.196757,1.621315,0.341716,0.653298
ENSMUSG00000059273,Zc3h4,7.52238,13.37379,4.111757,9.055218,10.645274,7.466578,13.218434,18.722490999999998,19.082729,13.825261,19.900752,26.571776
ENSMUSG00000059278,Naa38,71.42723,85.75851899999999,79.120178,78.36362700000001,88.627538,84.92871,176.720325,175.918808,175.10537200000002,105.929967,165.502384,162.773392
ENSMUSG00000059279,Or2t43,0,0,0,0,0,0.193429,0,0,0,0,0,0.127715
ENSMUSG00000059288,Cdyl,0,0.402376,0.777037,0,0.616534,0,0,0,0.313698,0,0.622077,0
ENSMUSG00000059291,Rpl11,244.666157,228.87452600000003,231.690178,240.852567,248.326649,214.82975300000004,455.426344,457.57362799999993,423.470316,591.0946379999999,417.532491,420.248223
ENSMUSG00000059301,Ube2frt,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059303,Or7g21,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059305,Vpreb1a,0,0,0,0,0,0,0,0,0.571342,0,0,0
ENSMUSG00000059316,Slc27a4,1.014023,0.856489,0.741353,0.841339,0.342566,0.858236,5.086338,6.572114,7.517384,3.352099,3.450269,9.101057
ENSMUSG00000059319,Or14c41,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059323,Tonsl,3.054098,1.321135,0.300537,2.418095,0.524422,1.1864819999999998,3.7738750000000003,7.812719,2.54313,0.769345,5.083761,6.173635000000001
ENSMUSG00000059326,Csf2ra,13.298589999999999,7.815133,9.584592,9.919847,9.078434000000001,7.576341,30.823771,37.039471,25.636225999999997,13.474985,29.090176000000003,28.37354
ENSMUSG00000059327,Eda,0.880965,0.621717,0.656441,0,0.963681,0.544511,0.521514,0.365869,0.130491,2.33289,0.685613,0.765389
ENSMUSG00000059334,Zfp36l3,0,0,0,0,0,0.063428,0.113871,0,0.051965,0,0,0
ENSMUSG00000059336,Slc14a1,13.48059,14.769619,13.631982,12.854949,12.584347,13.247521,18.954728,17.782124,18.765368,21.215624,16.975472,18.944595
ENSMUSG00000059343,Aldoart1,0,0,0.039857,0,0,0,0.264863,0.055066,0.060429,0,0.073508,0.05993
ENSMUSG00000059352,Gm10064,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059355,Wdr83os,49.770317,45.285675,50.003979,43.945334,44.0429,44.447116,58.380325,65.64097100000001,59.117541,40.497803000000005,60.536021,57.966194
ENSMUSG00000059363,Fxn,0.074088,0.333353,0.205199,0.180834,0.13907,0.145419,0.642425,0.7823709999999999,0.606672,1.70855,1.261234,0.876449
